ph,moisture,temperature,crop
6.0,45,26,Chili
6.2,50,27,Chili
5.8,42,25,Chili
6.5,48,28,Chili
6.1,55,29,Chili
6.3,46,27,Chili
5.9,52,26,Chili
6.4,44,28,Chili
6.2,58,27,Chili
6.0,49,25,Chili
6.5,60,28,Chili
5.7,47,26,Chili
6.1,53,29,Chili
6.3,51,27,Chili
6.0,57,26,Chili

5.5,55,25,Tomato
5.8,60,26,Tomato
6.0,65,27,Tomato
5.7,58,28,Tomato
6.2,62,26,Tomato
5.9,68,29,Tomato
5.6,63,25,Tomato
6.1,57,27,Tomato
5.8,70,28,Tomato
6.0,66,26,Tomato
5.5,61,29,Tomato
6.2,69,27,Tomato
5.7,64,26,Tomato
5.9,59,28,Tomato
6.1,67,25,Tomato

6.0,35,25,Corn
6.5,40,26,Corn
6.8,45,28,Corn
6.3,38,27,Corn
6.7,42,29,Corn
6.2,36,26,Corn
6.5,48,28,Corn
6.9,44,27,Corn
6.4,39,25,Corn
6.6,46,29,Corn
6.1,41,28,Corn
6.8,37,26,Corn
6.3,43,27,Corn
6.7,47,25,Corn
6.5,34,29,Corn

5.0,25,24,Peanut
5.3,30,25,Peanut
5.5,35,26,Peanut
5.2,28,27,Peanut
5.7,32,28,Peanut
5.1,22,25,Peanut
5.4,38,29,Peanut
5.6,27,26,Peanut
5.0,34,24,Peanut
5.3,26,28,Peanut
5.7,36,27,Peanut
5.2,31,29,Peanut
5.5,29,25,Peanut
5.1,37,26,Peanut
5.4,24,28,Peanut
